iter	Passed	Remaining
968	8100	259
969	8114	250
970	8125	242
971	8136	234
972	8154	226
973	8165	217
974	8178	209
975	8187	201
976	8197	192
977	8211	184
978	8219	176
979	8235	168
980	8244	159
981	8261	151
982	8272	143
983	8282	134
984	8293	126
985	8303	117
986	8313	109
987	8321	101
988	8329	92
989	8342	84
990	8354	75
991	8361	67
992	8371	59
993	8379	50
994	8388	42
995	8396	33
996	8404	25
997	8411	16
998	8418	8
999	8425	0
